C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,Sn,Al,Ti,Nb,CEQ,板坯装炉前温度,轧制道次数,精轧道次数,轧制厚度,粗轧开轧温度_测量平均,粗轧终止温度_测量平均,精轧开轧温度_测量平均,精轧终止温度_测量平均,抽出平均温度,TENSION_RM,YIELD_REH,EL
0.158,0.26,1.27,0.013,0.002,0.02,0.01,0.01,0.002,0.002,0.002,0.026,0.017,0.012,0.38,572,14,7,30.05,1173,1126,880,849,1193,526,397,28.5
0.158,0.26,1.27,0.013,0.002,0.02,0.01,0.01,0.002,0.002,0.002,0.026,0.017,0.012,0.38,576,14,7,30.05,1178,1130,876,849,1198,528,404,29.5
0.153,0.26,1.22,0.012,0.004,0.02,0.01,0.02,0.003,0.002,0.002,0.032,0.019,0.014,0.36,578,16,9,21.85,1163,1110,871,804,1181,531,405,28.0
0.153,0.26,1.22,0.012,0.004,0.02,0.01,0.02,0.003,0.002,0.002,0.032,0.019,0.014,0.36,562,16,9,21.15,1172,1118,875,802,1198,535,449,27.5
0.154,0.28,1.25,0.014,0.003,0.02,0.01,0.01,0.001,0.002,0.002,0.035,0.019,0.013,0.37,594,14,7,19.4,1153,1103,881,827,1202,529,422,25.0
0.15,0.29,1.24,0.012,0.002,0.02,0.01,0.01,0.001,0.002,0.002,0.034,0.018,0.013,0.36,602,14,7,19.3,1155,1104,882,819,1203,532,427,26.5
0.144,0.26,1.24,0.015,0.008,0.02,0.01,0.02,0.002,0.002,0.003,0.033,0.014,0.015,0.36,52,14,9,29.37,1187,1133,849,806,1201,562,484,29.0
0.162,0.3,1.23,0.01,0.004,0.02,0.01,0.01,0.001,0.001,0.003,0.035,0.016,0.011,0.37,32,14,9,25.12,1185,1127,864,795,1206,573,484,28.5
0.146,0.24,1.24,0.013,0.006,0.02,0.01,0.01,0.001,0.002,0.002,0.042,0.015,0.013,0.36,21,16,9,29.6,1169,1120,864,823,1197,531,435,29.0
0.154,0.28,1.26,0.012,0.002,0.02,0.01,0.01,0.001,0.002,0.002,0.041,0.017,0.012,0.37,42,16,9,28.7,1161,1106,864,812,1192,534,426,27.0
0.147,0.24,1.23,0.016,0.003,0.02,0.01,0.01,0.001,0.002,0.003,0.03,0.018,0.012,0.36,20,12,7,13.65,1156,1086,895,795,1188,525,481,27.0
0.149,0.3,1.23,0.01,0.001,0.02,0.01,0.01,0.001,0.001,0.002,0.028,0.018,0.013,0.36,72,14,7,20.1,1177,1120,846,795,1195,533,439,29.5
0.154,0.29,1.29,0.014,0.007,0.02,0.01,0.01,0.003,0.002,0.002,0.027,0.014,0.016,0.38,462,16,9,20.505000000000003,1156,1107,858,830,1183,534,415,29.5
0.154,0.29,1.29,0.014,0.007,0.02,0.01,0.01,0.003,0.002,0.002,0.027,0.014,0.016,0.38,439,16,9,20.505000000000003,1168,1119,863,834,1186,554,441,29.5
0.156,0.26,1.25,0.015,0.005,0.02,0.01,0.02,0.001,0.002,0.003,0.034,0.016,0.013,0.37,578,16,9,39.66,1179,1127,858,826,1196,509,398,28.0
0.156,0.26,1.25,0.015,0.005,0.02,0.01,0.02,0.001,0.002,0.003,0.034,0.016,0.013,0.37,600,16,9,39.66,1177,1126,862,829,1189,511,388,28.5
0.15,0.24,1.24,0.014,0.005,0.02,0.01,0.02,0.001,0.002,0.003,0.023,0.015,0.013,0.36,559,16,9,39.66,1179,1128,860,828,1191,518,387,29.0
0.151,0.3,1.24,0.015,0.007,0.02,0.01,0.02,0.002,0.002,0.003,0.039,0.017,0.013,0.36,43,14,5,7.77,1165,1114,878,818,1197,547,413,27.0
0.155,0.25,1.23,0.013,0.008,0.02,0.01,0.02,0.003,0.001,0.001,0.035,0.016,0.011,0.37,20,14,7,35.65,1179,1114,867,846,1199,529,368,25.5
0.155,0.25,1.23,0.013,0.008,0.02,0.01,0.02,0.003,0.001,0.001,0.035,0.016,0.011,0.37,20,14,7,35.65,1176,1127,865,844,1197,492,370,25.0
0.151,0.27,1.26,0.014,0.002,0.02,0.01,0.01,0.001,0.002,0.003,0.037,0.019,0.012,0.37,37,16,9,18.75,1159,1105,870,794,1181,534,434,27.0
0.149,0.26,1.25,0.015,0.006,0.02,0.01,0.02,0.001,0.002,0.003,0.029,0.017,0.013,0.36,56,16,9,17.6,1170,1115,877,790,1187,526,422,28.0
0.153,0.28,1.25,0.015,0.004,0.02,0.01,0.01,0.001,0.002,0.003,0.033,0.019,0.012,0.37,242,14,7,11.64,1149,1095,872,777,1190,553,465,28.5
0.153,0.25,1.24,0.017,0.009,0.02,0.01,0.01,0.001,0.002,0.003,0.029,0.015,0.011,0.37,33,16,7,15.65,1165,1114,886,809,1181,525,408,28.0
0.141,0.27,1.24,0.013,0.004,0.02,0.01,0.01,0.002,0.002,0.003,0.035,0.017,0.013,0.38,568,14,7,11.64,1177,1114,881,818,1202,559,488,27.0
0.141,0.27,1.24,0.013,0.004,0.02,0.01,0.01,0.002,0.002,0.003,0.035,0.017,0.013,0.38,569,14,7,15.65,1169,1120,884,834,1191,553,459,29.0
