C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,Sn,Al,Ti,Nb,CEQ,板坯装炉前温度,轧制道次数,精轧道次数,轧制厚度,粗轧开轧温度_测量平均,粗轧终止温度_测量平均,精轧开轧温度_测量平均,精轧终止温度_测量平均,抽出平均温度,TENSION_RM,YIELD_REH,EL
0.153,0.24,1.24,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.002,0.03,0.016,0.013,0.37,548,18,11,20.505000000000003,1193,1134,826,794,1200,534,429,30.5
0.143,0.26,1.28,0.009,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.037,0.011,0.015,0.36,547,12,7,29.55,1157,1111,871,839,1183,537,431,27.5
0.151,0.26,1.29,0.014,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.033,0.017,0.015,0.37,557,12,7,21.6,1177,1123,845,810,1205,544,416,28.5
0.15,0.25,1.24,0.011,0.003,0.02,0.01,0.04,0.002,0.001,0.004,0.029,0.017,0.016,0.38,20,14,5,14.15,1167,1119,900,849,1193,531,429,27.5
0.154,0.24,1.24,0.012,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.035,0.017,0.013,0.37,110,18,11,20.505000000000003,1161,1113,876,844,1193,529,417,27.5
0.156,0.23,1.24,0.012,0.007,0.02,0.01,0.02,0.004,0.002,0.002,0.027,0.014,0.013,0.37,136,18,11,20.505000000000003,1156,1109,879,838,1188,537,364,25.5
0.149,0.25,1.24,0.017,0.007,0.02,0.01,0.02,0.002,0.003,0.002,0.024,0.016,0.013,0.37,122,18,11,20.505000000000003,1151,1101,863,822,1181,535,378,25.0
0.156,0.23,1.24,0.012,0.007,0.02,0.01,0.02,0.004,0.002,0.002,0.027,0.014,0.013,0.37,124,18,11,20.505000000000003,1152,1106,878,845,1183,550,429,27.5
0.142,0.28,1.24,0.015,0.009,0.02,0.01,0.02,0.002,0.002,0.002,0.033,0.015,0.013,0.37,124,18,11,20.505000000000003,1177,1128,879,846,1185,553,431,28.5
0.151,0.26,1.29,0.014,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.033,0.017,0.015,0.37,562,12,7,21.6,1157,1108,864,822,1200,542,432,29.5
0.143,0.26,1.28,0.009,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.037,0.011,0.015,0.36,551,12,7,23.1,1159,1113,888,846,1193,516,420,28.5
0.143,0.26,1.28,0.009,0.005,0.02,0.01,0.03,0.003,0.001,0.004,0.037,0.011,0.015,0.36,558,12,7,23.4,1137,1092,870,825,1191,530,406,27.5
0.15,0.29,1.24,0.012,0.004,0.02,0.01,0.03,0.002,0.002,0.004,0.039,0.018,0.013,0.37,479,18,11,20.505000000000003,1190,1136,853,828,1217,550,420,27.0
0.151,0.24,1.24,0.011,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.031,0.014,0.013,0.37,553,16,9,19.75,1161,1106,870,781,1201,569,439,30.5
0.151,0.24,1.24,0.011,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.031,0.014,0.013,0.37,20,16,9,24.75,1151,1098,867,794,1191,563,454,25.5
0.145,0.25,1.24,0.014,0.005,0.02,0.01,0.04,0.002,0.002,0.004,0.036,0.013,0.013,0.37,51,16,9,20.505000000000003,1162,1113,860,839,1193,540,416,27.0
0.154,0.25,1.24,0.013,0.003,0.02,0.01,0.04,0.002,0.002,0.003,0.029,0.015,0.013,0.37,128,16,9,20.505000000000003,1167,1118,859,838,1197,559,403,28.0
0.154,0.25,1.24,0.013,0.003,0.02,0.01,0.04,0.002,0.002,0.003,0.029,0.015,0.013,0.37,128,16,9,20.505000000000003,1155,1104,841,811,1194,566,432,26.5
0.147,0.23,1.25,0.013,0.011,0.02,0.01,0.02,0.002,0.002,0.002,0.031,0.017,0.012,0.36,132,16,7,15.75,1201,1114,878,818,1197,500,396,28.5
0.154,0.24,1.24,0.012,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.035,0.017,0.013,0.37,104,18,11,20.505000000000003,1174,1127,896,860,1187,545,407,30.5
0.154,0.24,1.24,0.012,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.035,0.017,0.013,0.37,100,18,11,20.505000000000003,1159,1108,854,817,1200,553,395,28.5
0.149,0.24,1.24,0.017,0.004,0.02,0.01,0.03,0.002,0.003,0.003,0.03,0.018,0.013,0.37,94,18,11,20.505000000000003,1158,1108,863,833,1195,542,399,29.0
0.151,0.28,1.23,0.01,0.003,0.02,0.01,0.02,0.002,0.001,0.004,0.035,0.017,0.011,0.37,534,12,7,12.5,1175,1116,904,771,1208,530,401,28.5
0.159,0.29,1.24,0.011,0.005,0.02,0.01,0.03,0.003,0.003,0.003,0.04,0.019,0.013,0.37,548,12,7,15.7,1203,1144,900,811,1227,516,388,28.0
0.151,0.28,1.24,0.017,0.005,0.02,0.01,0.03,0.002,0.002,0.003,0.044,0.015,0.013,0.35,20,12,7,19.55,1176,1125,871,824,1207,521,447,28.5
0.147,0.23,1.25,0.013,0.011,0.02,0.01,0.02,0.002,0.002,0.002,0.031,0.017,0.012,0.36,51,14,7,15.6,1195,1135,925,806,1197,500,386,27.5
0.15,0.25,1.24,0.013,0.009,0.02,0.01,0.03,0.002,0.002,0.003,0.045,0.016,0.013,0.37,53,18,11,20.505000000000003,1168,1117,856,824,1199,554,405,29.0
0.145,0.25,1.24,0.014,0.005,0.02,0.01,0.04,0.002,0.002,0.004,0.036,0.013,0.013,0.37,56,18,11,20.505000000000003,1162,1111,856,826,1198,548,399,28.5
0.145,0.25,1.24,0.014,0.005,0.02,0.01,0.04,0.002,0.002,0.004,0.036,0.013,0.013,0.37,133,18,11,20.505000000000003,1171,1119,858,825,1203,529,434,30.0
0.15,0.25,1.24,0.013,0.009,0.02,0.01,0.03,0.002,0.002,0.003,0.045,0.016,0.013,0.37,50,18,11,20.505000000000003,1177,1123,845,818,1198,553,410,30.5
0.154,0.25,1.24,0.013,0.003,0.02,0.01,0.04,0.002,0.002,0.003,0.029,0.015,0.013,0.37,128,16,9,20.505000000000003,1163,1113,850,827,1195,542,393,27.0
0.149,0.24,1.24,0.017,0.004,0.02,0.01,0.03,0.002,0.003,0.003,0.03,0.018,0.013,0.37,102,18,11,20.505000000000003,1169,1119,871,842,1201,547,433,27.5
0.148,0.28,1.24,0.013,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.044,0.017,0.013,0.37,51,14,7,20.505000000000003,1165,1114,878,818,1194,484,426,25.0
0.147,0.26,1.23,0.013,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.038,0.012,0.015,0.36,562,14,7,15.7,1164,1115,900,829,1198,522,378,29.5
0.139,0.26,1.3,0.012,0.006,0.02,0.01,0.03,0.002,0.001,0.003,0.031,0.014,0.013,0.36,574,18,11,35.15,1179,1124,862,807,1208,525,433,29.5
0.151,0.24,1.24,0.011,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.031,0.014,0.013,0.37,104,14,7,19.89,1146,1094,857,795,1180,554,465,26.5
0.151,0.24,1.24,0.011,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.031,0.014,0.013,0.37,75,14,7,19.89,1148,1095,845,787,1180,541,419,28.0
0.147,0.27,1.23,0.012,0.004,0.02,0.01,0.04,0.002,0.001,0.003,0.027,0.014,0.013,0.36,20,14,7,12.75,1190,1136,944,826,1220,535,448,28.0
0.143,0.27,1.29,0.013,0.012,0.02,0.01,0.02,0.001,0.001,0.003,0.035,0.018,0.012,0.36,206,14,7,27.6,1144,1098,867,821,1204,525,453,26.5
0.147,0.26,1.23,0.013,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.038,0.012,0.015,0.36,564,14,7,11.76,1167,1114,908,805,1199,524,421,28.0
0.151,0.26,1.29,0.014,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.033,0.017,0.015,0.37,561,14,7,13.05,1167,1112,875,792,1201,556,452,28.0
0.151,0.26,1.29,0.014,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.033,0.017,0.015,0.37,573,12,7,16.2,1154,1106,866,821,1199,539,426,27.0
0.141,0.27,1.24,0.018,0.003,0.02,0.01,0.03,0.002,0.002,0.003,0.034,0.017,0.013,0.37,549,14,9,42.1,1133,1090,866,832,1182,529,455,27.5
0.141,0.27,1.24,0.018,0.003,0.02,0.01,0.03,0.002,0.002,0.003,0.034,0.017,0.013,0.37,545,16,9,41.2,1157,1111,881,836,1185,529,460,26.0
0.14,0.23,1.24,0.014,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.03,0.015,0.012,0.36,569,14,7,17.8,1171,1122,909,840,1203,514,414,28.0
0.14,0.23,1.24,0.014,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.03,0.015,0.012,0.36,578,14,7,15.2,1173,1125,914,842,1207,524,417,27.0
0.152,0.26,1.23,0.013,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.04,0.017,0.012,0.37,578,14,7,15.2,1176,1127,914,841,1206,520,398,25.0
0.152,0.26,1.23,0.013,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.04,0.017,0.012,0.37,578,14,7,15.2,1167,1119,918,842,1201,519,412,26.5
0.155,0.25,1.27,0.015,0.003,0.02,0.01,0.03,0.002,0.001,0.003,0.031,0.015,0.012,0.38,305,14,7,15.21,1180,1122,903,794,1208,521,420,25.5
0.158,0.24,1.27,0.015,0.009,0.02,0.01,0.02,0.002,0.001,0.003,0.045,0.018,0.013,0.38,521,14,7,17.45,1177,1126,918,831,1212,521,396,28.0
0.15,0.27,1.3,0.014,0.008,0.02,0.01,0.02,0.002,0.002,0.003,0.04,0.017,0.014,0.37,542,14,7,16.1,1200,1145,907,823,1197,518,406,28.0
0.149,0.24,1.24,0.012,0.006,0.02,0.01,0.02,0.004,0.001,0.004,0.031,0.015,0.012,0.36,542,14,7,16.15,1181,1128,905,820,1210,521,419,27.0
0.15,0.27,1.3,0.014,0.008,0.02,0.01,0.02,0.002,0.002,0.003,0.04,0.017,0.014,0.37,523,14,7,16.72,1200,1145,905,827,1222,505,406,27.0
0.15,0.27,1.3,0.014,0.008,0.02,0.01,0.02,0.002,0.002,0.003,0.04,0.017,0.014,0.37,245,14,7,16.4,1165,1114,878,818,1224,520,410,28.5
0.145,0.26,1.25,0.012,0.005,0.02,0.01,0.03,0.002,0.002,0.003,0.038,0.017,0.011,0.36,555,16,9,15.7,1162,1109,905,797,1196,491,404,27.5
0.142,0.24,1.24,0.012,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.016,0.011,0.36,549,16,9,19.9,1153,1103,890,813,1191,494,428,27.0
0.142,0.24,1.24,0.012,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.016,0.011,0.36,552,16,9,15.1,1149,1097,932,802,1182,489,418,27.5
0.142,0.24,1.24,0.012,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.016,0.011,0.36,543,18,9,14.0,1160,1106,947,794,1189,497,407,26.5
0.142,0.24,1.24,0.012,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.016,0.011,0.36,197,14,9,22.0,1175,1117,837,779,1219,542,479,27.5
0.142,0.24,1.24,0.012,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.016,0.011,0.36,184,14,9,22.6,1188,1132,849,799,1219,540,482,28.0
0.14,0.28,1.24,0.013,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.033,0.019,0.013,0.37,100,12,7,12.1,1165,1114,930,804,1197,576,502,29.0
0.146,0.27,1.23,0.015,0.002,0.02,0.01,0.03,0.003,0.002,0.002,0.031,0.016,0.011,0.36,581,14,7,21.35,1166,1113,869,811,1192,543,452,27.5
0.146,0.27,1.23,0.015,0.002,0.02,0.01,0.03,0.003,0.002,0.002,0.031,0.016,0.011,0.36,585,14,7,20.75,1159,1108,874,815,1186,540,454,27.0
0.155,0.3,1.22,0.017,0.008,0.02,0.01,0.03,0.003,0.002,0.003,0.036,0.016,0.013,0.37,573,16,9,34.65,1142,1095,855,820,1189,511,423,28.0
0.155,0.3,1.22,0.017,0.008,0.02,0.01,0.03,0.003,0.002,0.003,0.036,0.016,0.013,0.37,569,16,9,35.65,1159,1111,869,829,1190,501,390,28.0
0.155,0.3,1.22,0.017,0.008,0.02,0.01,0.03,0.003,0.002,0.003,0.036,0.016,0.013,0.37,550,16,9,35.7,1155,1106,867,826,1196,502,405,28.0
0.155,0.3,1.22,0.017,0.008,0.02,0.01,0.03,0.003,0.002,0.003,0.036,0.016,0.013,0.37,564,16,9,30.2,1138,1091,865,819,1195,529,437,27.0
0.155,0.25,1.23,0.014,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.032,0.016,0.012,0.37,495,14,7,34.75,1179,1133,883,857,1210,539,423,29.0
0.155,0.25,1.23,0.014,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.032,0.016,0.012,0.37,497,14,7,35.95,1191,1142,873,851,1214,530,424,28.5
0.153,0.24,1.2,0.012,0.008,0.02,0.01,0.03,0.003,0.002,0.004,0.038,0.019,0.012,0.36,36,16,7,24.31,1154,1104,890,824,1182,503,406,28.5
0.153,0.24,1.2,0.012,0.008,0.02,0.01,0.03,0.003,0.002,0.004,0.038,0.019,0.012,0.36,36,16,7,24.21,1147,1098,889,825,1183,509,440,29.0
0.153,0.23,1.23,0.012,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.037,0.016,0.014,0.37,562,14,7,16.55,1146,1095,887,804,1191,507,420,28.0
0.151,0.26,1.23,0.01,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.047,0.017,0.011,0.37,562,14,7,17.45,1146,1099,895,824,1201,499,397,30.5
0.157,0.26,1.24,0.017,0.006,0.02,0.01,0.01,0.002,0.002,0.002,0.031,0.018,0.013,0.37,40,14,7,20.505000000000003,1165,1114,878,818,1208,567,453,26.0
0.15,0.24,1.23,0.011,0.007,0.02,0.01,0.03,0.002,0.001,0.004,0.036,0.016,0.011,0.36,548,16,9,22.6,1177,1123,883,813,1194,495,410,28.5
0.154,0.25,1.23,0.014,0.006,0.02,0.01,0.03,0.002,0.001,0.003,0.029,0.014,0.012,0.37,529,16,9,21.5,1138,1088,874,802,1190,502,420,28.0
0.154,0.25,1.23,0.014,0.006,0.02,0.01,0.03,0.002,0.001,0.003,0.029,0.014,0.012,0.37,540,16,9,22.6,1184,1129,887,814,1210,500,426,28.5
0.154,0.25,1.23,0.014,0.006,0.02,0.01,0.03,0.002,0.001,0.003,0.029,0.014,0.012,0.37,538,16,9,20.9,1136,1086,866,794,1188,535,429,27.5
0.154,0.25,1.23,0.014,0.006,0.02,0.01,0.03,0.002,0.001,0.003,0.029,0.014,0.012,0.37,550,16,9,21.5,1163,1111,880,805,1189,499,407,28.5
0.153,0.26,1.24,0.01,0.007,0.02,0.01,0.03,0.002,0.001,0.004,0.033,0.016,0.013,0.38,591,16,9,34.3,1184,1133,880,838,1217,538,427,28.0
0.153,0.26,1.24,0.01,0.007,0.02,0.01,0.03,0.002,0.001,0.004,0.033,0.016,0.013,0.38,571,16,9,34.25,1189,1137,876,833,1212,557,476,28.0
0.15,0.24,1.23,0.011,0.007,0.02,0.01,0.03,0.002,0.001,0.004,0.036,0.016,0.011,0.36,564,16,9,23.2,1183,1129,883,817,1202,541,435,28.5
0.15,0.24,1.23,0.011,0.007,0.02,0.01,0.03,0.002,0.001,0.004,0.036,0.016,0.011,0.36,563,16,9,23.2,1173,1122,889,819,1208,527,412,27.5
0.149,0.26,1.26,0.011,0.007,0.02,0.01,0.02,0.002,0.001,0.003,0.026,0.015,0.012,0.37,539,16,9,20.9,1158,1105,868,796,1197,507,424,28.0
0.149,0.26,1.26,0.011,0.007,0.02,0.01,0.02,0.002,0.001,0.003,0.026,0.015,0.012,0.37,536,16,9,20.8,1153,1102,878,803,1192,511,417,28.5
0.142,0.23,1.25,0.014,0.007,0.02,0.01,0.02,0.004,0.001,0.003,0.034,0.015,0.011,0.36,529,16,9,20.8,1152,1100,867,797,1192,521,439,28.5
0.142,0.23,1.25,0.014,0.007,0.02,0.01,0.02,0.004,0.001,0.003,0.034,0.015,0.011,0.36,526,16,9,20.8,1160,1107,866,796,1194,507,422,28.0
0.142,0.23,1.25,0.014,0.007,0.02,0.01,0.02,0.004,0.001,0.003,0.034,0.015,0.011,0.36,524,14,7,20.8,1159,1107,871,807,1191,509,423,28.0
0.153,0.25,1.24,0.012,0.011,0.02,0.01,0.03,0.002,0.001,0.003,0.033,0.017,0.012,0.37,529,14,7,20.0,1155,1108,894,833,1192,505,419,28.5
0.137,0.25,1.27,0.015,0.007,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.018,0.011,0.36,540,16,9,14.75,1156,1097,858,818,1190,520,453,27.5
0.153,0.24,1.2,0.012,0.008,0.02,0.01,0.03,0.003,0.002,0.004,0.038,0.019,0.012,0.36,589,14,7,24.08,1161,1107,889,825,1206,539,446,29.5
0.153,0.24,1.2,0.012,0.008,0.02,0.01,0.03,0.003,0.002,0.004,0.038,0.019,0.012,0.36,583,14,7,24.3,1146,1092,886,821,1196,534,437,28.0
0.152,0.28,1.24,0.015,0.002,0.02,0.01,0.03,0.002,0.002,0.004,0.039,0.018,0.015,0.37,569,14,7,25.0,1156,1100,876,817,1193,538,440,27.5
0.152,0.28,1.24,0.015,0.002,0.02,0.01,0.03,0.002,0.002,0.004,0.039,0.018,0.015,0.37,570,14,7,25.35,1165,1107,874,809,1193,540,459,28.5
0.152,0.28,1.24,0.015,0.002,0.02,0.01,0.03,0.002,0.002,0.004,0.039,0.018,0.015,0.37,560,14,7,26.85,1176,1117,869,813,1196,529,424,27.5
0.15,0.23,1.23,0.015,0.003,0.02,0.01,0.02,0.003,0.002,0.002,0.03,0.014,0.012,0.36,566,16,9,23.65,1147,1095,852,795,1196,530,434,28.0
0.153,0.25,1.23,0.016,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.03,0.017,0.011,0.37,558,14,7,19.17,1157,1107,880,818,1205,501,387,27.0
0.153,0.25,1.23,0.016,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.03,0.017,0.011,0.37,553,14,7,16.17,1175,1121,901,817,1198,521,414,27.0
0.154,0.24,1.25,0.017,0.006,0.02,0.01,0.03,0.002,0.002,0.003,0.033,0.016,0.012,0.37,547,14,7,18.85,1157,1107,887,822,1205,513,400,27.0
0.149,0.26,1.24,0.014,0.003,0.02,0.01,0.02,0.002,0.002,0.004,0.04,0.018,0.012,0.36,542,16,7,18.85,1145,1096,886,816,1197,513,419,28.0
0.159,0.28,1.24,0.015,0.004,0.02,0.01,0.02,0.001,0.003,0.002,0.032,0.015,0.013,0.37,520,16,7,17.55,1166,1112,907,815,1201,523,416,28.0
0.159,0.28,1.24,0.015,0.004,0.02,0.01,0.02,0.001,0.003,0.002,0.032,0.015,0.013,0.37,530,14,7,17.15,1158,1105,898,806,1199,514,410,28.0
0.159,0.28,1.24,0.015,0.004,0.02,0.01,0.02,0.001,0.003,0.002,0.032,0.015,0.013,0.37,524,14,7,16.85,1161,1106,876,793,1205,533,428,28.5
0.159,0.28,1.24,0.015,0.004,0.02,0.01,0.02,0.001,0.003,0.002,0.032,0.015,0.013,0.37,526,14,7,16.75,1166,1114,904,815,1209,524,408,28.0
0.147,0.26,1.24,0.014,0.001,0.02,0.01,0.03,0.002,0.002,0.003,0.04,0.018,0.012,0.36,525,14,7,16.0,1172,1117,910,811,1201,519,403,27.0
0.156,0.26,1.26,0.014,0.006,0.02,0.01,0.02,0.002,0.002,0.002,0.04,0.02,0.011,0.37,578,14,7,21.62,1186,1132,885,826,1199,510,409,28.0
0.141,0.27,1.24,0.018,0.003,0.02,0.01,0.03,0.002,0.002,0.003,0.034,0.017,0.013,0.37,532,16,9,33.7,1139,1092,864,816,1184,529,426,25.5
0.14,0.23,1.24,0.014,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.03,0.015,0.012,0.36,571,14,7,13.2,1172,1121,924,827,1204,517,417,27.5
0.14,0.23,1.24,0.014,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.03,0.015,0.012,0.36,574,14,7,13.2,1182,1130,932,831,1204,521,410,28.5
0.146,0.27,1.22,0.014,0.004,0.02,0.01,0.03,0.002,0.002,0.003,0.027,0.014,0.013,0.36,566,14,7,15.45,1164,1111,912,808,1193,526,414,26.5
0.154,0.25,1.23,0.01,0.004,0.02,0.01,0.03,0.002,0.001,0.003,0.025,0.015,0.012,0.37,315,14,7,13.45,1201,1140,923,803,1222,532,424,27.0
0.144,0.24,1.24,0.013,0.008,0.02,0.01,0.03,0.002,0.001,0.004,0.029,0.013,0.011,0.36,492,14,7,19.4,1139,1092,897,828,1189,517,410,27.5
0.144,0.24,1.24,0.013,0.008,0.02,0.01,0.03,0.002,0.001,0.004,0.029,0.013,0.011,0.36,505,14,7,18.9,1157,1106,883,815,1189,496,397,28.0
0.144,0.24,1.24,0.013,0.008,0.02,0.01,0.03,0.002,0.001,0.004,0.029,0.013,0.011,0.36,509,14,7,18.85,1151,1101,897,821,1193,507,407,28.5
0.144,0.24,1.24,0.013,0.008,0.02,0.01,0.03,0.002,0.001,0.004,0.029,0.013,0.011,0.36,516,14,7,17.75,1162,1114,919,836,1197,515,400,28.5
0.144,0.24,1.24,0.013,0.008,0.02,0.01,0.03,0.002,0.001,0.004,0.029,0.013,0.011,0.36,520,14,7,17.45,1169,1119,917,831,1199,496,387,28.0
0.158,0.24,1.27,0.015,0.009,0.02,0.01,0.02,0.002,0.001,0.003,0.045,0.018,0.013,0.38,522,14,7,17.45,1178,1124,893,817,1211,507,402,27.5
0.158,0.24,1.27,0.015,0.009,0.02,0.01,0.02,0.002,0.001,0.003,0.045,0.018,0.013,0.38,520,14,7,17.15,1181,1127,897,820,1214,501,394,28.0
0.148,0.24,1.25,0.014,0.006,0.02,0.01,0.02,0.002,0.001,0.004,0.029,0.013,0.011,0.37,525,14,7,17.02,1176,1122,888,813,1204,506,397,28.0
0.148,0.24,1.25,0.014,0.006,0.02,0.01,0.02,0.002,0.001,0.004,0.029,0.013,0.011,0.37,531,14,7,16.72,1195,1139,899,819,1221,507,410,28.5
0.146,0.27,1.23,0.013,0.009,0.02,0.01,0.03,0.002,0.001,0.003,0.032,0.015,0.013,0.36,586,16,9,38.15,1163,1114,862,827,1204,502,401,28.0
0.15,0.22,1.25,0.017,0.007,0.02,0.01,0.03,0.002,0.002,0.003,0.036,0.012,0.015,0.37,88,14,7,24.3,1163,1113,884,832,1185,542,443,28.5
0.146,0.27,1.23,0.013,0.009,0.02,0.01,0.03,0.002,0.001,0.003,0.032,0.015,0.013,0.36,595,18,11,45.17,1161,1110,861,818,1201,508,396,28.0
0.142,0.24,1.29,0.016,0.009,0.02,0.01,0.02,0.002,0.002,0.002,0.043,0.016,0.014,0.36,491,14,7,15.55,1171,1125,914,850,1206,494,404,29.0
0.142,0.24,1.29,0.016,0.009,0.02,0.01,0.02,0.002,0.002,0.002,0.043,0.016,0.014,0.36,450,14,7,17.95,1168,1116,908,854,1214,498,425,27.5
0.142,0.24,1.24,0.012,0.008,0.02,0.01,0.03,0.002,0.001,0.003,0.037,0.016,0.011,0.36,543,18,9,14.0,1160,1106,947,794,1189,497,407,26.5
0.14,0.21,1.24,0.011,0.004,0.02,0.01,0.02,0.002,0.002,0.003,0.038,0.02,0.013,0.37,260,12,7,28.1,1184,1131,848,819,1218,529,426,28.0
0.14,0.21,1.24,0.011,0.004,0.02,0.01,0.02,0.002,0.002,0.003,0.038,0.02,0.013,0.37,315,12,7,27.7,1196,1139,833,805,1224,529,426,26.5
0.155,0.23,1.24,0.014,0.005,0.02,0.01,0.03,0.002,0.002,0.003,0.031,0.017,0.013,0.37,502,14,7,19.35,1172,1120,896,823,1209,500,398,27.5
0.153,0.26,1.2,0.014,0.004,0.02,0.01,0.03,0.002,0.002,0.003,0.034,0.017,0.012,0.36,494,14,7,19.95,1161,1112,899,832,1219,503,411,28.5
0.153,0.26,1.2,0.014,0.004,0.02,0.01,0.03,0.002,0.002,0.003,0.034,0.017,0.012,0.36,529,14,7,19.95,1146,1099,899,830,1210,509,390,25.0
0.141,0.28,1.24,0.011,0.009,0.02,0.01,0.03,0.004,0.002,0.002,0.047,0.02,0.013,0.36,515,14,7,22.55,1161,1111,878,823,1200,533,421,27.5
0.141,0.28,1.24,0.011,0.009,0.02,0.01,0.03,0.004,0.002,0.002,0.047,0.02,0.013,0.36,511,14,7,23.45,1183,1129,880,823,1207,534,425,27.0
0.141,0.28,1.24,0.011,0.009,0.02,0.01,0.03,0.004,0.002,0.002,0.047,0.02,0.013,0.36,500,14,7,23.55,1196,1140,874,821,1206,526,438,26.5
0.155,0.24,1.24,0.015,0.004,0.02,0.01,0.02,0.002,0.002,0.002,0.029,0.017,0.012,0.37,58,14,7,26.2,1163,1110,868,806,1179,504,422,29.0
0.151,0.27,1.24,0.01,0.003,0.02,0.01,0.02,0.002,0.002,0.003,0.039,0.016,0.013,0.36,63,16,9,42.2,1182,1131,873,838,1205,529,482,27.0
0.153,0.23,1.23,0.012,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.037,0.016,0.014,0.37,563,14,7,15.75,1146,1096,899,807,1191,524,410,27.5
0.149,0.22,1.24,0.013,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.033,0.015,0.013,0.36,560,14,7,16.55,1148,1098,894,808,1188,514,406,28.0
0.149,0.22,1.24,0.013,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.033,0.015,0.013,0.36,559,14,7,16.65,1149,1099,900,811,1189,516,402,27.5
0.151,0.26,1.23,0.01,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.047,0.017,0.011,0.37,571,14,7,17.3,1169,1116,903,817,1203,525,408,29.0
0.153,0.23,1.23,0.012,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.037,0.016,0.014,0.37,554,14,7,15.75,1138,1087,860,783,1191,532,438,26.0
0.149,0.22,1.24,0.013,0.004,0.02,0.01,0.02,0.003,0.001,0.003,0.033,0.015,0.013,0.36,577,14,7,17.51,1147,1099,898,819,1193,517,405,27.5
0.154,0.25,1.23,0.01,0.004,0.02,0.01,0.03,0.002,0.001,0.003,0.025,0.015,0.012,0.37,467,14,7,13.45,1163,1106,910,788,1197,538,426,28.0
0.151,0.26,1.23,0.01,0.005,0.02,0.01,0.03,0.002,0.001,0.003,0.047,0.017,0.011,0.37,567,14,7,17.48,1151,1101,903,818,1194,518,403,27.0
0.15,0.22,1.25,0.017,0.007,0.02,0.01,0.03,0.002,0.002,0.003,0.036,0.012,0.015,0.37,88,14,7,24.3,1163,1113,884,832,1185,542,443,28.0
0.142,0.24,1.29,0.016,0.009,0.02,0.01,0.02,0.002,0.002,0.002,0.043,0.016,0.014,0.36,450,14,7,17.95,1168,1116,908,854,1214,498,425,27.5
0.154,0.23,1.23,0.015,0.006,0.02,0.01,0.02,0.002,0.001,0.002,0.046,0.016,0.011,0.37,559,14,7,12.1,1165,1114,938,820,1194,510,433,26.5
0.153,0.24,1.23,0.013,0.007,0.02,0.01,0.03,0.002,0.001,0.003,0.038,0.017,0.011,0.37,541,14,7,12.1,1173,1121,940,831,1205,504,401,27.0
0.151,0.23,1.24,0.011,0.005,0.02,0.01,0.02,0.001,0.002,0.003,0.028,0.017,0.013,0.35,575,14,7,12.1,1164,1115,947,834,1195,520,449,26.0
0.155,0.23,1.24,0.014,0.005,0.02,0.01,0.03,0.002,0.002,0.003,0.031,0.017,0.013,0.37,497,14,7,19.35,1154,1102,886,809,1206,521,390,27.0
0.161,0.25,1.24,0.013,0.001,0.02,0.01,0.02,0.002,0.002,0.003,0.025,0.013,0.013,0.37,548,14,7,23.55,1163,1112,871,819,1184,559,441,26.0
